Passport,New Score,New Rank,Old Score,Old Rank,Update
Afghanistan,156.76,199,75,199,0
Albania,927.53,92,294,94,2
Algeria,280.87,171,140,163,-8
Andorra,1231.0900000000001,49,396,50,1
Angola,291.07,165,140,162,-3
Antigua and Barbuda,1153.98,60,371,59,-1
Argentina,1286.5500000000002,45,419,44,-1
Armenia,419.53,129,175,132,3
Australia,1342.67,36,437,38,2
Austria,1378.3400000000001,10,453,9,-1
Azerbaijan,425.48,126,182,129,3
Bahamas,1209.27,54,384,54,0
Bahrain,530.01,107,225,104,-3
Bangladesh,264.93999999999994,177,116,182,5
Barbados,1242.83,48,400,48,0
Belarus,510.96000000000004,110,212,111,1
Belgium,1376.6000000000001,12,451,14,2
Belize,651.0799999999999,98,246,100,2
Benin,331.09,148,158,145,-3
Bhutan,315.33,155,145,157,2
Bolivia,501.84999999999997,112,199,117,5
Bosnia and Herzegovina,944.7099999999999,89,304,92,3
Botswana,528.6,108,214,109,1
Brazil,1292.4700000000003,44,423,43,-1
Brunei,1211.9499999999998,53,396,49,-4
Bulgaria,1339.99,38,434,39,1
Burkina Faso,326.04999999999995,149,157,148,-1
Burundi,285.49,168,132,173,5
Cambodia,321.03,153,148,156,3
Cameroon,274.38,174,128,175,1
Canada,1358.96,28,443,30,2
Cape Verde,377.0799999999999,138,176,131,-7
Central African Republic,265.11,176,130,174,-2
Chad,290.13,166,138,166,0
Chile,1295.5600000000002,43,419,45,2
China,422.57000000000005,128,187,121,-7
Colombia,1065.3100000000002,76,334,75,-1
Comoros,297.77,161,134,169,8
Congo,239.64,182,118,180,-2
Costa Rica,1175.35,57,368,61,4
Croatia,1335.1000000000001,39,433,40,1
Cuba,406.49,133,174,134,1
Cyprus,1356.2600000000002,31,442,32,1
Czech Republic,1371.28,15,448,22,7
DR Congo,236.26,184,116,183,-1
Denmark,1384.53,4,455,7,3
Djibouti,258.16999999999996,178,120,177,-1
Dominica,1078.13,70,342,71,1
Dominican Republic,424.55,127,173,137,10
Ecuador,604.77,101,234,102,1
Egypt,280.87,172,133,171,-1
El Salvador,1066.29,74,327,81,7
Equatorial Guinea,275.74,173,134,170,-3
Eritrea,216.04000000000002,190,105,190,0
Estonia,1355.93,32,441,35,3
Ethiopia,236.06,185,107,188,3
Fiji,595.48,102,234,103,1
Finland,1386.27,2,457,5,3
France,1379.32,9,452,12,3
Gabon,321.03999999999996,152,148,155,3
Gambia,406.76,132,182,127,-5
Georgia,957.2,88,312,87,-1
Germany,1387.98,1,458,3,2
Ghana,368.41999999999996,140,172,138,-2
Greece,1375.5800000000002,13,450,18,5
Grenada,1106.93,68,352,68,0
Guatemala,1067.51,73,329,79,6
Guinea,294.89,162,142,160,-2
Guinea-Bissau,290.08,167,141,161,-6
Guyana,570.76,104,221,106,2
Haiti,299.01,159,132,172,13
Honduras,1073.9699999999998,71,331,77,6
Hong Kong,1275.23,46,418,46,0
Hungary,1369.2800000000002,18,447,24,6
Iceland,1354.83,33,442,33,0
India,359.42999999999995,141,159,141,0
Indonesia,470.2900000000001,119,203,114,-5
Iran,219.63,189,104,193,4
Iraq,162.67000000000002,198,78,198,0
Ireland,1363.3200000000002,23,448,23,0
Israel,1229.32,50,394,51,1
Italy,1382.85,5,455,6,1
Ivory Coast,306.01,156,156,149,-7
Jamaica,608.9599999999999,99,238,101,2
Japan,1366.12,22,451,15,-7
Jordan,293.42999999999995,163,139,165,2
Kazakhstan,495.52000000000004,114,208,112,-2
Kenya,429.90999999999997,125,185,124,-1
Kiribati,1000.9300000000001,84,320,83,-1
Kosovo,243.92,181,114,185,4
Kuwait,585.06,103,249,99,-4
Kyrgyzstan,378.15999999999997,137,171,139,2
Laos,283.37,170,135,167,-3
Latvia,1358.38,29,442,31,2
Lebanon,236.96999999999997,183,118,179,-4
Lesotho,500.49999999999994,113,203,115,2
Liberia,284.4,169,135,168,-1
Libya,212.42000000000002,192,106,189,-3
Liechtenstein,1333.6,40,430,41,1
Lithuania,1363.04,24,446,25,1
Luxembourg,1386.13,3,457,4,1
Macao,1116.27,65,360,64,-1
Madagascar,353.05999999999995,143,150,152,9
Malawi,456.21999999999997,120,193,120,0
Malaysia,1307.8200000000002,41,439,36,-5
Maldives,550.8299999999999,106,225,105,-1
Mali,302.59,157,149,154,-3
Malta,1370.77,16,450,17,1
Marshall Islands,982.77,87,310,88,1
Mauritania,318.2099999999999,154,150,151,-3
Mauritius,1109.8900000000003,67,364,62,-5
Mexico,1219.88,51,387,52,1
Micronesia,917.8299999999999,93,291,95,2
Moldova,939.98,91,305,91,0
Monaco,1303.25,42,424,42,0
Mongolia,418.55000000000007,130,174,135,5
Montenegro,1002.8199999999999,83,318,85,2
Morocco,376.43999999999994,139,173,136,-3
Mozambique,331.47,147,151,150,3
Myanmar,254.14999999999998,179,117,181,2
Namibia,439.0,122,186,123,1
Nauru,554.9000000000001,105,216,107,2
Nepal,232.29000000000002,187,115,184,-3
Netherlands,1380.0200000000002,8,453,11,3
New Zealand,1353.44,34,442,34,0
